msg_size,msg_cnt,remember,time_ns,kernel
64,100,true,65235347265
64,1000,true,64174968279
64,10000,true,63899306504
256,100,true,68427014651
256,1000,true,67497949170
256,10000,true,66922809262
1024,100,true,89560284535
1024,1000,true,89017519459
1024,10000,true,99976723162
8192,100,true,159784708361
8192,1000,true,211353908433
8192,10000,true,355419954306
64,100,false,75515247197
64,1000,false,76345648856
64,10000,false,75208719142
256,100,false,68129449457
256,1000,false,79194988070
256,10000,false,77636433660
1024,100,false,104043182242
1024,1000,false,102486076268
1024,10000,false,106861263880
8192,100,false,269110153119
8192,1000,false,276713890472
8192,10000,false,271163580882
